FID,OBJECTID,Join_Count,osm_id,BUFF_DIST,Shape_Leng
502,1153,2,99486518,25.000000000000000,0.001526438963810
503,1154,1,99486520,25.000000000000000,0.001526437863720
504,1158,1,99492297,25.000000000000000,0.001526415267020
505,1161,5,99492302,25.000000000000000,0.001526333675750
506,1163,3,99492306,25.000000000000000,0.001526437885620
507,1165,6,99492308,25.000000000000000,0.001526454554430
508,1166,4,99492312,25.000000000000000,0.001526418780660
509,1168,7,99492315,25.000000000000000,0.001526520373090
510,1169,4,99492320,25.000000000000000,0.001526676721000
511,1170,6,99492322,25.000000000000000,0.001526434514290
512,1171,3,99492324,25.000000000000000,0.001526396142440
513,1172,4,99492326,25.000000000000000,0.001526534511840
514,1173,10,99492327,25.000000000000000,0.001526573609100
515,1178,3,99493171,25.000000000000000,0.001526737816750
516,1179,4,99493172,25.000000000000000,0.001526694780790
517,1183,5,99494333,25.000000000000000,0.001526894015050
518,1184,5,99494334,25.000000000000000,0.001526686832860
519,1185,3,99494336,25.000000000000000,0.001526850998630
520,1186,18,99494337,25.000000000000000,0.001526729521590
521,1188,6,99494694,25.000000000000000,0.001526670466330
522,1189,13,99495580,25.000000000000000,0.001526857474520
523,1190,6,99495581,25.000000000000000,0.001526782107430
524,1192,5,99495585,25.000000000000000,0.001526791511740
